@relation map

@attribute offSize numeric
@attribute defSize numeric
@attribute offValue numeric
@attribute defValue numeric
@attribute averageAltitude numeric
@attribute minAltitude numeric
@attribute maxAltitude numeric
@attribute currentAltitude numeric
@attribute fovValue numeric
@attribute lastAction {shoot,follow,explore_off,explore_def,hunt,retreat}
@attribute life numeric
@attribute impactProba numeric
@attribute victory {VICTORY,DEFEAT}

@data
1,0,26022.99,0.0,-54972.4,-137.51645,-108.648994,-114.17004,16136.662,shoot,2,0.65462184,DEFEAT
2,0,54832.094,0.0,-59081.777,-140.29114,-106.76146,-114.033966,16034.1,follow,2,0.0,DEFEAT
1,0,27933.678,0.0,-60900.33,-135.32266,-105.37279,-117.92466,18313.855,follow,2,0.0,DEFEAT
12,0,330412.25,0.0,-83486.22,-139.57707,-106.57266,-123.90841,18208.703,shoot,2,0.6779648,DEFEAT
1,0,27038.56,0.0,-74850.09,-146.23593,-111.7037,-122.885635,16836.92,shoot,2,0.61043364,DEFEAT
3,0,81817.91,0.0,-82881.586,-139.93265,-106.043106,-128.80899,17436.305,follow,2,0.0,DEFEAT
1,0,27347.555,0.0,-67597.62,-139.92941,-109.85932,-121.83944,14628.65,follow,2,0.0,DEFEAT
7,0,200659.94,0.0,-67213.266,-134.22656,-108.05968,-120.43477,18080.922,explore_off,2,0.0,DEFEAT
1,0,29790.111,0.0,-74150.695,-142.1571,-111.902534,-125.28963,14867.822,follow,2,0.0,DEFEAT
0,0,0.0,0.0,-114722.29,-148.39142,-119.29161,-142.56451,19523.945,shoot,12,0.51369697,DEFEAT
0,1,0.0,30007.062,-42837.996,-135.16985,-109.68765,-112.38278,20449.836,explore_off,2,0.0,DEFEAT
0,27,0.0,803301.7,-70684.92,-143.52504,-109.14944,-120.910904,18004.299,explore_off,2,0.0,DEFEAT
1,0,27379.555,0.0,-71788.11,-137.42328,-107.18198,-120.334526,17066.691,follow,2,0.0,DEFEAT
2,0,55397.75,0.0,-53165.883,-140.58469,-107.0872,-112.590645,16278.24,shoot,2,0.6064693,DEFEAT
1,0,27424.775,0.0,-71474.984,-128.03023,-110.2204,-118.98652,19952.883,follow,2,0.0,DEFEAT
1,0,28495.695,0.0,-70969.086,-133.68799,-102.703705,-124.51751,18780.13,shoot,2,0.68020034,DEFEAT
2,0,57510.46,0.0,-54950.496,-139.38211,-103.59086,-112.99007,15831.268,follow,2,0.0,DEFEAT
1,0,26612.13,0.0,-69685.484,-133.38928,-109.01538,-121.456894,18052.018,shoot,2,0.59360397,DEFEAT
4,0,116081.26,0.0,-76342.58,-143.86859,-110.98315,-123.422386,18089.186,shoot,2,0.0,DEFEAT
1,0,29087.852,0.0,-80301.64,-139.16174,-113.09202,-122.85722,18397.688,follow,2,0.0,DEFEAT
1,0,23686.635,0.0,-60183.113,-141.79973,-106.69741,-113.07791,15619.297,follow,2,0.0,DEFEAT
1,0,25906.4,0.0,-68084.51,-142.31982,-112.73398,-118.995804,17218.545,shoot,2,0.0,DEFEAT
3,0,81694.555,0.0,-59449.39,-131.93462,-110.361565,-117.75523,18827.287,shoot,2,0.0,DEFEAT
3,0,84632.125,0.0,-52279.18,-142.90698,-98.50658,-110.49466,16014.1,follow,2,0.0,DEFEAT
3,0,81668.18,0.0,-61034.176,-142.4884,-106.10945,-117.664474,16893.73,follow,2,0.0,DEFEAT
3,0,84040.234,0.0,-64084.375,-140.06396,-105.25839,-120.07521,15686.453,follow,2,0.0,DEFEAT
1,0,25692.566,0.0,-61598.906,-133.5428,-108.32625,-114.3116,18146.562,follow,2,0.0,DEFEAT
1,0,26978.137,0.0,-70157.11,-139.82553,-110.02004,-123.50953,16701.52,follow,2,0.0,DEFEAT
1,0,29472.326,0.0,-53690.93,-133.37944,-110.824135,-117.77684,20916.582,shoot,4,0.68820393,DEFEAT
3,0,82493.0,0.0,-56943.12,-138.56758,-99.65384,-112.92289,11582.424,follow,2,0.0,DEFEAT
1,0,29177.45,0.0,-74320.09,-138.54825,-111.08772,-122.82802,16902.398,follow,2,0.0,DEFEAT
3,0,77002.57,0.0,-73294.04,-137.35028,-110.74308,-123.78344,18367.562,follow,6,0.655041,VICTORY
2,0,55796.79,0.0,-80772.8,-136.74078,-110.28239,-126.61311,18814.416,follow,6,0.6336027,VICTORY
2,0,52419.953,0.0,-81993.336,-137.42613,-106.51666,-127.27392,18404.4,shoot,8,0.7070577,VICTORY
2,0,55857.008,0.0,-84387.76,-137.8889,-111.33972,-127.5401,17502.46,follow,2,0.67409706,VICTORY
2,0,56469.094,0.0,-67372.89,-138.63829,-106.90304,-118.30849,18094.719,follow,6,0.62735134,VICTORY
4,0,111680.75,0.0,-70727.81,-137.29741,-105.3434,-121.55111,17791.127,shoot,4,0.63076764,VICTORY
1,0,27731.0,0.0,-61769.26,-136.07852,-104.58501,-116.79027,16674.63,shoot,6,0.5990569,VICTORY
4,0,116183.375,0.0,-82615.17,-135.90439,-108.84993,-124.55963,19776.738,follow,8,0.7495458,VICTORY
