@relation map

@attribute offSize numeric
@attribute defSize numeric
@attribute offValue numeric
@attribute defValue numeric
@attribute averageAltitude numeric
@attribute minAltitude numeric
@attribute maxAltitude numeric
@attribute currentAltitude numeric
@attribute fovValue numeric
@attribute lastAction {shoot,follow,explore_off,explore_def,hunt,retreat, idle}
@attribute life numeric
@attribute impactProba numeric
@attribute victory {VICTORY,DEFEAT}
@attribute touch{YES, NO}

@data
1,0,26022.99,0.0,-73397.625,-135.97069,-103.92499,-123.35493,18973.734,explore_off,10,0.0,DEFEAT,NO
1,0,26022.99,0.0,-78658.91,-138.66603,-109.16864,-124.53961,16305.939,follow,4,0.0,DEFEAT,NO
1,0,26022.99,0.0,-85834.0,-138.42462,-111.255554,-126.96419,18055.656,follow,4,0.6242924,DEFEAT,NO
1,0,26022.99,0.0,-81448.016,-138.2405,-110.0315,-124.41468,17699.55,follow,2,0.0,DEFEAT,NO
1,0,26022.99,0.0,-84651.766,-139.07968,-107.83491,-125.951256,17626.096,follow,2,0.61090964,DEFEAT,NO
1,0,26022.99,0.0,-80295.016,-137.15256,-106.77721,-122.9101,19232.07,shoot,2,0.0,DEFEAT,NO
1,0,26022.99,0.0,-63525.5,-138.80904,-107.47294,-116.70093,15469.86,follow,2,0.682473,DEFEAT,NO
2,0,54832.094,0.0,-75357.766,-130.08925,-107.53486,-121.04807,19802.535,explore_off,8,0.0,DEFEAT,NO
2,0,54832.094,0.0,-90609.64,-136.16959,-106.96728,-126.25223,19349.375,follow,8,0.0,DEFEAT,NO
2,0,54832.094,0.0,-91778.48,-136.0588,-111.16171,-126.397415,19562.936,follow,8,0.6388392,DEFEAT,NO
1,0,27933.678,0.0,-68462.05,-136.6472,-105.59222,-120.4671,16642.264,explore_off,10,0.0,DEFEAT,NO
1,0,27933.678,0.0,-73139.88,-131.34682,-105.605705,-122.92663,19264.79,explore_off,10,0.0,DEFEAT,NO
1,0,27933.678,0.0,-58589.254,-134.20401,-104.77067,-117.55421,18489.58,follow,6,0.0,DEFEAT,NO
1,0,27933.678,0.0,-66696.86,-133.4704,-104.67927,-119.12532,21204.47,follow,4,0.70964146,DEFEAT,NO
1,0,27933.678,0.0,-66343.97,-133.34521,-104.4006,-118.84253,21173.062,shoot,4,0.7236718,DEFEAT,NO
1,0,27933.678,0.0,-64714.508,-130.48466,-106.3608,-117.95516,20643.258,shoot,4,0.6946616,DEFEAT,NO
1,0,27933.678,0.0,-57055.992,-134.66663,-109.31105,-115.6415,16914.79,shoot,4,0.7188772,DEFEAT,NO
12,0,330412.25,0.0,-79810.15,-142.6418,-111.75859,-126.456024,16617.795,explore_off,4,0.0,DEFEAT,NO
12,0,330412.25,0.0,-77203.68,-151.61444,-108.926506,-125.646736,17328.826,follow,4,0.0,DEFEAT,NO
12,0,330412.25,0.0,-75309.91,-152.2336,-108.22684,-124.12698,15404.674,shoot,2,0.0,DEFEAT,NO
12,0,330412.25,0.0,-96158.5,-140.91563,-112.00215,-130.5204,18493.91,follow,2,0.6816296,DEFEAT,NO
12,0,330412.25,0.0,-103983.89,-140.80855,-114.472,-133.3345,19483.541,follow,2,0.0,DEFEAT,NO
12,0,330412.25,0.0,-105924.27,-140.77391,-112.023315,-133.48407,20197.924,follow,2,0.63113767,DEFEAT,NO
12,0,330412.25,0.0,-98476.445,-140.87276,-115.647835,-130.40634,20051.434,shoot,2,0.6022264,DEFEAT,NO
12,0,330412.25,0.0,-92491.4,-140.65384,-114.46835,-127.218704,19392.54,shoot,2,0.60052514,DEFEAT,NO
1,0,27038.56,0.0,-68334.82,-143.50148,-109.78609,-120.22438,17352.824,explore_off,10,0.0,DEFEAT,NO
1,0,27038.56,0.0,-60907.95,-143.76186,-110.463974,-116.12809,16974.873,explore_off,10,0.11666192,DEFEAT,NO
1,0,27038.56,0.0,-61400.453,-143.53246,-109.479935,-114.544235,17630.316,explore_off,10,0.042601082,DEFEAT,NO
1,0,27038.56,0.0,-98038.77,-146.2513,-114.66509,-136.22203,16643.006,follow,4,0.0,DEFEAT,NO
1,0,27038.56,0.0,-109870.47,-145.69278,-112.606026,-139.8665,19088.602,follow,4,0.6595656,DEFEAT,NO
1,0,27038.56,0.0,-104793.38,-145.94197,-117.13705,-137.45319,18279.191,shoot,4,0.63629776,DEFEAT,NO
1,0,27038.56,0.0,-95388.88,-145.45038,-110.42793,-133.17184,17424.746,shoot,4,0.63229793,DEFEAT,NO
1,0,27038.56,0.0,-81462.6,-145.6591,-112.74366,-126.86686,15904.834,shoot,4,0.68925136,DEFEAT,NO
1,0,27038.56,0.0,-79737.984,-145.6305,-111.262665,-125.996544,16108.703,shoot,4,0.6458628,DEFEAT,NO
1,0,27038.56,0.0,-86633.3,-145.47372,-112.693054,-127.542305,17211.262,shoot,4,0.60063607,DEFEAT,NO
1,0,27038.56,0.0,-89841.37,-145.10593,-114.05653,-128.23073,16655.137,follow,2,0.0,DEFEAT,NO
1,0,27038.56,0.0,-81359.69,-146.26764,-111.2231,-125.11136,16073.299,follow,2,0.63786167,DEFEAT,NO
0,0,0.0,0.0,-90913.125,-145.38963,-105.20763,-130.46909,17230.023,explore_off,10,0.0,DEFEAT,NO
3,0,77002.57,0.0,-110064.27,-146.12952,-110.740906,-137.70496,18303.234,explore_off,10,0.0,DEFEAT,NO
3,0,77002.57,0.0,-113257.12,-146.62105,-109.886154,-140.9581,18522.053,follow,8,0.0,DEFEAT,NO
3,0,77002.57,0.0,-110075.86,-146.46376,-110.91754,-139.56404,17949.852,follow,8,0.62115496,DEFEAT,NO
3,0,77002.57,0.0,-108821.086,-146.13948,-110.47301,-137.41316,18184.293,shoot,8,0.0,DEFEAT,NO
3,0,77002.57,0.0,-108797.1,-145.52803,-114.37091,-137.41118,19207.336,follow,8,0.6404671,DEFEAT,NO
3,0,77002.57,0.0,-101178.734,-145.3224,-110.447044,-134.07938,17944.023,shoot,8,0.6838096,DEFEAT,NO
3,0,77002.57,0.0,-91655.01,-146.07475,-110.17741,-130.72523,17109.86,shoot,8,0.0,DEFEAT,NO
3,0,77002.57,0.0,-75684.92,-136.85994,-110.23543,-124.67321,17024.928,follow,6,0.0,DEFEAT,NO
3,0,77002.57,0.0,-79955.555,-136.38937,-111.01723,-125.62529,18244.86,follow,6,0.70421815,DEFEAT,NO
3,0,77002.57,0.0,-71394.28,-137.04214,-110.67555,-122.71821,16580.512,shoot,6,0.0,DEFEAT,NO
0,0,0.0,0.0,-79293.32,-134.96587,-108.05598,-124.93781,21088.762,explore_off,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-91617.81,-139.67377,-107.630325,-132.66426,19107.297,explore_off,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-85377.43,-139.82283,-106.950294,-129.84825,17014.744,explore_off,8,0.44209108,DEFEAT,NO
3,0,81817.91,0.0,-89679.43,-138.80801,-109.06882,-130.38385,19530.465,explore_off,8,0.4882462,DEFEAT,NO
3,0,81817.91,0.0,-84203.25,-138.43665,-108.31459,-124.93365,18401.207,shoot,8,0.0,DEFEAT,NO
3,0,81817.91,0.0,-71556.34,-137.99423,-107.47635,-121.00447,17647.27,follow,8,0.65424,DEFEAT,NO
3,0,81817.91,0.0,-80658.97,-140.46953,-103.43229,-127.71607,17194.191,follow,6,0.0,DEFEAT,NO
0,0,0.0,0.0,-54779.89,-140.1958,-112.17674,-114.357574,16544.213,explore_off,10,0.0,DEFEAT,NO
0,0,0.0,0.0,-62196.832,-144.76215,-110.63808,-117.85725,16710.646,explore_off,8,0.5040943,DEFEAT,NO
